id,score,reused_nodes,multiple_output_functions,largest_information_function,global_code_volume
s34,0.6666666666666666,0.0,0.0,7.0,5.0
s33,0.6666666666666666,0.0,0.0,7.0,5.0
s5,0.6666666666666666,0.0,0.0,7.0,5.0
s2,0.6666666666666666,0.0,0.0,7.0,5.0
s32,0.6666666666666666,0.0,0.0,7.0,5.0
s35,0.3333333333333333,0.0,0.0,12.0,5.0
s3,0.6666666666666666,0.0,0.0,5.0,5.0
s4,1.0,2.0,0.0,4.0,5.0
s44,0.6666666666666666,0.0,0.0,8.0,5.0
s43,0.6666666666666666,0.0,0.0,7.0,5.0
s26,0,1.0,0.0,5.0,17.0
s19,0.3333333333333333,0.0,0.0,12.0,5.0
s21,0.6666666666666666,0.0,0.0,5.0,5.0
s17,0.6666666666666666,0.0,0.0,7.0,5.0
s28,0.6666666666666666,0.0,0.0,7.0,5.0
s10,0.6666666666666666,0.0,0.0,9.0,5.0
s42,0.6666666666666666,0.0,0.0,7.0,5.0
s11,0.6666666666666666,0.0,0.0,7.0,5.0
s16,0.6666666666666666,0.0,0.0,7.0,5.0
s29,1.0,1.0,0.0,5.0,5.0
s20,0.6666666666666666,0.0,0.0,7.0,5.0
s27,0.6666666666666666,0.0,0.0,6.0,5.0
s18,1.0,1.0,0.0,5.0,5.0
s8,0.6666666666666666,0.0,0.0,7.0,5.0
s1,0.6666666666666666,0.0,0.0,7.0,5.0
s6,0.6666666666666666,0.0,0.0,7.0,5.0
s39,0.3333333333333333,0.0,0.0,12.0,5.0
s30,0.6666666666666666,0.0,0.0,7.0,5.0
s37,0.6666666666666666,0.0,0.0,7.0,5.0
s9,0.6666666666666666,0.0,0.0,7.0,7.0
s36,0.3333333333333333,0.0,0.0,12.0,5.0
s31,0.6666666666666666,0.0,0.0,10.0,5.0
s38,0.6666666666666666,0.0,0.0,7.0,5.0
s22,0.6666666666666666,0.0,0.0,7.0,5.0
s25,0.3333333333333333,0.0,0.0,12.0,5.0
s13,0.6666666666666666,0.0,0.0,7.0,5.0
s14,1.0,2.0,0.0,5.0,5.0
s40,0.6666666666666666,0.0,0.0,10.0,5.0
s15,0.3333333333333333,0.0,0.0,12.0,5.0
s12,0.6666666666666666,0.0,0.0,7.0,5.0
s24,1.0,1.0,0.0,5.0,5.0
s23,0.6666666666666666,0.0,0.0,6.0,5.0
s41,1.0,1.0,0.0,9.0,5.0
solution,1,1.0,0.0,6.0,5.0
